Genomic_position,Tree1,Tree2,Diff_site,Support
94,-199.23100,-199.15100,-0.08000,Tree2
95,-174.05701,-173.76401,-0.29300,Tree2
96,-97.43890,-98.40550,0.96660,Tree1
97,-52.45860,-52.49860,0.04000,Tree1
98,-57.97150,-57.96890,-0.00260,Tree2
99,-142.94501,-143.12500,0.18000,Tree1
100,-147.57001,-147.80000,0.23000,Tree1
101,-125.05300,-125.13000,0.07700,Tree1
102,-155.71001,-155.58200,-0.12800,Tree2
103,-90.44970,-90.42230,-0.02740,Tree2
104,-155.50900,-155.55701,0.04800,Tree1
105,-98.97810,-98.95200,-0.02610,Tree2
106,-87.92670,-87.85010,-0.07660,Tree2
107,-132.97200,-133.21700,0.24500,Tree1
108,-157.46600,-157.40199,-0.06400,Tree2
109,-180.57500,-180.19800,-0.37700,Tree2
110,-134.51100,-134.49699,-0.01400,Tree2
111,-56.45540,-56.48710,0.03170,Tree1
112,-131.86200,-131.81700,-0.04500,Tree2
113,-50.96280,-50.97290,0.01010,Tree1
114,-158.26900,-158.30800,0.03900,Tree1
115,-155.37399,-154.68500,-0.68900,Tree2
116,-105.06400,-105.12300,0.05900,Tree1
117,-126.30400,-126.47800,0.17400,Tree1
118,-53.07180,-52.99130,-0.08050,Tree2
119,-98.90150,-98.89730,-0.00420,Tree2
120,-154.35699,-155.43700,1.08000,Tree1
121,-179.03799,-178.99500,-0.04300,Tree2
122,-155.81700,-155.77499,-0.04200,Tree2
123,-123.20300,-123.23800,0.03500,Tree1
124,-96.75640,-96.70000,-0.05640,Tree2
125,-116.89300,-116.89800,0.00500,Tree1
126,-145.66299,-145.79900,0.13600,Tree1
127,-141.57500,-141.62000,0.04500,Tree1
128,-109.43200,-109.44900,0.01700,Tree1
129,-128.26199,-129.51801,1.25600,Tree1
130,-174.08900,-173.84300,-0.24600,Tree2
131,-144.29100,-144.71899,0.42800,Tree1
132,-147.35699,-147.26700,-0.09000,Tree2
133,-139.44400,-139.19000,-0.25400,Tree2
134,-134.19701,-134.07700,-0.12000,Tree2
135,-117.24300,-117.23600,-0.00700,Tree2
136,-165.95900,-165.80099,-0.15800,Tree2
137,-18.07380,-18.02410,-0.04970,Tree2
138,-180.34801,-180.12399,-0.22400,Tree2
139,-52.76860,-52.74310,-0.02550,Tree2
140,-175.74500,-176.62900,0.88400,Tree1
141,-145.22000,-146.74600,1.52600,Tree1
142,-164.84500,-164.90800,0.06300,Tree1
143,-164.26100,-164.29800,0.03700,Tree1
144,-123.68500,-123.65900,-0.02600,Tree2
145,-155.93600,-155.83099,-0.10500,Tree2
146,-200.05901,-199.34801,-0.71100,Tree2
147,-99.92800,-100.15400,0.22600,Tree1
148,-123.57100,-123.67800,0.10700,Tree1
149,-177.22200,-176.78600,-0.43600,Tree2
150,-175.79500,-175.37601,-0.41900,Tree2
151,-178.42200,-178.09399,-0.32800,Tree2
152,-22.31020,-22.31570,0.00550,Tree1
153,-19.44520,-19.36870,-0.07650,Tree2
154,-115.74900,-115.76800,0.01900,Tree1
155,-48.70720,-48.71660,0.00940,Tree1
156,-98.13500,-98.14440,0.00940,Tree1
157,-22.40840,-22.38660,-0.02180,Tree2
158,-160.50800,-160.34200,-0.16600,Tree2
159,-79.12380,-79.16320,0.03940,Tree1
160,-113.10000,-113.12800,0.02800,Tree1
161,-81.79250,-81.88240,0.08990,Tree1
162,-139.73300,-139.94299,0.21000,Tree1
163,-38.92840,-38.87240,-0.05600,Tree2
164,-151.30099,-151.21500,-0.08600,Tree2
165,-149.31500,-148.57300,-0.74200,Tree2
166,-176.50400,-176.34300,-0.16100,Tree2
167,-115.61600,-115.64500,0.02900,Tree1
168,-76.31170,-76.38240,0.07070,Tree1
169,-154.30701,-155.06000,0.75300,Tree1
170,-128.29100,-128.26900,-0.02200,Tree2
171,-175.11800,-175.03101,-0.08700,Tree2
172,-178.49699,-178.17799,-0.31900,Tree2
173,-116.76300,-115.65700,-1.10600,Tree2
174,-172.02901,-171.77499,-0.25400,Tree2
175,-132.61900,-132.41701,-0.20200,Tree2
176,-15.30500,-15.25590,-0.04910,Tree2
177,-66.02280,-66.01180,-0.01100,Tree2
178,-90.94910,-90.96010,0.01100,Tree1
179,-149.87300,-149.08099,-0.79200,Tree2
180,-98.81510,-98.82020,0.00510,Tree1
181,-136.80200,-136.95200,0.15000,Tree1
182,-180.01700,-179.96500,-0.05200,Tree2
183,-114.51400,-114.45100,-0.06300,Tree2
184,-42.87100,-42.87680,0.00580,Tree1
185,-116.89600,-116.87800,-0.01800,Tree2
186,-123.35500,-123.33400,-0.02100,Tree2
187,-73.41880,-73.44600,0.02720,Tree1
188,-49.04010,-49.06050,0.02040,Tree1
189,-84.73900,-84.80700,0.06800,Tree1
190,-40.03210,-40.03760,0.00550,Tree1
191,-130.61400,-130.34200,-0.27200,Tree2
192,-195.83099,-195.77400,-0.05700,Tree2
193,-135.13400,-134.99899,-0.13500,Tree2
194,-107.19100,-107.19100,0.00000,Tree1
195,-149.17200,-149.12601,-0.04600,Tree2
196,-57.22710,-57.24600,0.01890,Tree1
197,-186.47800,-186.82100,0.34300,Tree1
198,-101.48700,-101.57300,0.08600,Tree1
199,-163.52299,-163.86700,0.34400,Tree1
200,-171.57899,-171.42500,-0.15400,Tree2
201,-103.01500,-103.01700,0.00200,Tree1
202,-60.15350,-60.19150,0.03800,Tree1
203,-135.90601,-135.96300,0.05700,Tree1
204,-200.91299,-201.01801,0.10500,Tree1
205,-105.47500,-105.32500,-0.15000,Tree2
206,-121.13100,-121.09700,-0.03400,Tree2
207,-112.35000,-112.34000,-0.01000,Tree2
208,-169.17200,-169.14999,-0.02200,Tree2
209,-184.52400,-184.62700,0.10300,Tree1
210,-133.81100,-133.84900,0.03800,Tree1
211,-117.34000,-119.03200,1.69200,Tree1
212,-120.43800,-120.12000,-0.31800,Tree2
213,-126.02400,-126.04000,0.01600,Tree1
214,-49.07770,-49.09950,0.02180,Tree1
215,-134.80200,-134.66901,-0.13300,Tree2
216,-167.72301,-167.73399,0.01100,Tree1
217,-164.52800,-164.62199,0.09400,Tree1
218,-64.16370,-64.24360,0.07990,Tree1
219,-24.80270,-24.77320,-0.02950,Tree2
220,-196.71001,-197.45399,0.74400,Tree1
221,-101.50100,-101.45100,-0.05000,Tree2
222,-50.05830,-50.05790,-0.00040,Tree2
223,-75.22110,-75.21000,-0.01110,Tree2
224,-193.39700,-193.23700,-0.16000,Tree2
225,-171.35899,-171.36301,0.00400,Tree1
226,-42.64730,-42.61210,-0.03520,Tree2
227,-148.77200,-148.93500,0.16300,Tree1
228,-171.72800,-172.10201,0.37400,Tree1
229,-143.64900,-144.02200,0.37300,Tree1
230,-40.57100,-40.52380,-0.04720,Tree2
231,-193.24400,-193.46800,0.22400,Tree1
232,-116.38700,-116.36000,-0.02700,Tree2
233,-146.89400,-147.15199,0.25800,Tree1
234,-132.15100,-132.14000,-0.01100,Tree2
235,-119.44600,-119.33600,-0.11000,Tree2
236,-134.85100,-135.13400,0.28300,Tree1
237,-83.62240,-83.61400,-0.00840,Tree2
238,-114.41100,-116.05300,1.64200,Tree1
239,-24.77330,-24.67440,-0.09890,Tree2
240,-150.47301,-150.32500,-0.14800,Tree2
241,-171.91901,-172.11099,0.19200,Tree1
242,-164.69400,-164.60600,-0.08800,Tree2
243,-141.95300,-141.94099,-0.01200,Tree2
244,-8.58415,-8.59190,0.00775,Tree1
245,-112.42800,-112.51900,0.09100,Tree1
246,-121.55000,-120.89300,-0.65700,Tree2
247,-141.17101,-142.02000,0.84900,Tree1
248,-115.47000,-115.36200,-0.10800,Tree2
249,-147.83000,-147.88300,0.05300,Tree1
250,-162.85100,-163.85400,1.00300,Tree1
251,-101.98000,-101.88100,-0.09900,Tree2
252,-136.46500,-136.44099,-0.02400,Tree2
253,-139.86700,-139.81900,-0.04800,Tree2
254,-20.06460,-20.06420,-0.00040,Tree2
255,-120.44900,-120.44300,-0.00600,Tree2
256,-70.03810,-69.99750,-0.04060,Tree2
257,-144.22501,-144.23000,0.00500,Tree1
258,-115.76800,-116.02000,0.25200,Tree1
259,-177.85699,-177.78300,-0.07400,Tree2
260,-6.94786,-6.95117,0.00331,Tree1
261,-147.73300,-147.24100,-0.49200,Tree2
262,-71.15980,-71.23810,0.07830,Tree1
263,-13.94550,-13.94610,0.00060,Tree1
264,-46.03440,-46.05490,0.02050,Tree1
265,-99.39580,-98.98330,-0.41250,Tree2
266,-153.46201,-154.04601,0.58400,Tree1
267,-135.96001,-136.49699,0.53700,Tree1
268,-81.78870,-84.24660,2.45790,Tree1
269,-106.16700,-105.17500,-0.99200,Tree2
270,-37.39390,-37.38610,-0.00780,Tree2
271,-71.41650,-71.78590,0.36940,Tree1
272,-96.02800,-95.94400,-0.08400,Tree2
273,-31.93840,-31.93890,0.00050,Tree1
274,-105.77600,-105.82700,0.05100,Tree1
275,-62.24690,-62.26450,0.01760,Tree1
276,-159.31900,-159.38901,0.07000,Tree1
277,-108.91600,-108.91800,0.00200,Tree1
278,-15.63430,-15.63470,0.00040,Tree1
279,-11.21250,-11.21750,0.00500,Tree1
280,-91.53690,-91.41320,-0.12370,Tree2
281,-12.16060,-12.16130,0.00070,Tree1
282,-24.22770,-24.22510,-0.00260,Tree2
283,-36.88680,-36.88240,-0.00440,Tree2
284,-46.40750,-46.39290,-0.01460,Tree2
285,-139.94200,-140.11501,0.17300,Tree1
286,-26.90320,-26.89790,-0.00530,Tree2
287,-208.50000,-208.31799,-0.18200,Tree2
288,-153.44000,-153.20799,-0.23200,Tree2
289,-99.60050,-99.58530,-0.01520,Tree2
290,-5.91170,-5.91568,0.00398,Tree1
291,-23.59270,-23.53970,-0.05300,Tree2
292,-127.60300,-127.54000,-0.06300,Tree2
293,-26.83360,-26.82840,-0.00520,Tree2
294,-103.69900,-103.70400,0.00500,Tree1
295,-161.26700,-161.42700,0.16000,Tree1
296,-10.05830,-10.05610,-0.00220,Tree2
297,-141.10001,-141.00500,-0.09500,Tree2
298,-138.35500,-138.33800,-0.01700,Tree2
299,-116.18700,-116.16600,-0.02100,Tree2
300,-161.27699,-161.29100,0.01400,Tree1
301,-173.91800,-173.99899,0.08100,Tree1
302,-93.66170,-93.50350,-0.15820,Tree2
303,-76.33490,-76.28210,-0.05280,Tree2
304,-58.30610,-58.31930,0.01320,Tree1
305,-169.22000,-169.46600,0.24600,Tree1
306,-128.39700,-128.39400,-0.00300,Tree2
307,-139.49300,-139.52901,0.03600,Tree1
308,-194.51401,-194.63300,0.11900,Tree1
309,-147.24100,-147.28101,0.04000,Tree1
310,-88.17420,-88.19140,0.01720,Tree1
311,-115.24200,-114.73800,-0.50400,Tree2
312,-207.37601,-206.95200,-0.42400,Tree2
313,-164.39301,-164.42799,0.03500,Tree1
314,-125.26800,-124.89300,-0.37500,Tree2
315,-62.99080,-63.00560,0.01480,Tree1
316,-197.70300,-197.42200,-0.28100,Tree2
317,-113.86800,-113.85800,-0.01000,Tree2
318,-66.26360,-66.27220,0.00860,Tree1
319,-139.52699,-139.52901,0.00200,Tree1
320,-196.91800,-196.54500,-0.37300,Tree2
321,-79.16750,-79.14190,-0.02560,Tree2
322,-57.61320,-57.60880,-0.00440,Tree2
323,-170.75200,-170.67500,-0.07700,Tree2
324,-158.29601,-158.13200,-0.16400,Tree2
325,-130.45200,-130.44299,-0.00900,Tree2
326,-134.63499,-134.73300,0.09800,Tree1
327,-146.66901,-146.43500,-0.23400,Tree2
328,-167.48599,-167.41100,-0.07500,Tree2
329,-167.29700,-167.78300,0.48600,Tree1
330,-143.91499,-143.97600,0.06100,Tree1
331,-145.58099,-145.73300,0.15200,Tree1
332,-49.33570,-49.38670,0.05100,Tree1
333,-77.01870,-76.97740,-0.04130,Tree2
334,-152.65601,-153.07201,0.41600,Tree1
335,-150.30299,-151.76601,1.46300,Tree1
336,-125.83100,-125.81500,-0.01600,Tree2
337,-92.27520,-92.27330,-0.00190,Tree2
338,-79.13150,-79.07050,-0.06100,Tree2
339,-133.63000,-133.59000,-0.04000,Tree2
340,-141.69800,-141.52600,-0.17200,Tree2
341,-112.87800,-112.82300,-0.05500,Tree2
342,-116.87100,-116.90500,0.03400,Tree1
343,-185.33400,-185.31700,-0.01700,Tree2
344,-122.63200,-123.04700,0.41500,Tree1
345,-67.02590,-67.02690,0.00100,Tree1
346,-83.37710,-83.56420,0.18710,Tree1
347,-156.86200,-155.77699,-1.08500,Tree2
348,-35.87900,-35.84930,-0.02970,Tree2
349,-20.88870,-20.89110,0.00240,Tree1
350,-30.63900,-30.63940,0.00040,Tree1
351,-91.99820,-91.98450,-0.01370,Tree2
352,-103.21700,-103.20700,-0.01000,Tree2
353,-29.94010,-29.94410,0.00400,Tree1
354,-88.70800,-88.72090,0.01290,Tree1
355,-180.20000,-179.53400,-0.66600,Tree2
356,-174.17500,-174.35600,0.18100,Tree1
357,-85.04620,-85.04530,-0.00090,Tree2
358,-153.64700,-153.33800,-0.30900,Tree2
359,-162.35699,-162.69600,0.33900,Tree1
360,-182.52499,-182.55099,0.02600,Tree1
361,-174.65199,-174.47200,-0.18000,Tree2
362,-84.39500,-84.62750,0.23250,Tree1
363,-147.77699,-147.53999,-0.23700,Tree2
364,-107.96100,-109.21600,1.25500,Tree1
365,-103.45100,-104.74300,1.29200,Tree1
366,-101.27600,-101.61300,0.33700,Tree1
367,-79.27170,-81.22130,1.94960,Tree1
368,-58.03360,-55.26810,-2.76550,Tree2
369,-112.33400,-110.74500,-1.58900,Tree2
370,-125.34100,-125.16600,-0.17500,Tree2
371,-143.45200,-144.46500,1.01300,Tree1
372,-192.37199,-191.72000,-0.65200,Tree2
373,-59.45560,-60.65800,1.20240,Tree1
374,-66.72120,-65.79190,-0.92930,Tree2
375,-186.00500,-184.00301,-2.00200,Tree2
376,-143.61600,-143.48801,-0.12800,Tree2
377,-117.66700,-117.30700,-0.36000,Tree2
378,-71.09510,-69.42640,-1.66870,Tree2
379,-158.72000,-158.77100,0.05100,Tree1
380,-157.46201,-155.80099,-1.66100,Tree2
381,-45.02510,-43.82130,-1.20380,Tree2
382,-63.75210,-64.05530,0.30320,Tree1
383,-137.63200,-137.00700,-0.62500,Tree2
384,-177.86301,-174.67400,-3.18900,Tree2
385,-162.04500,-161.43600,-0.60900,Tree2
386,-134.17200,-134.10899,-0.06300,Tree2
387,-98.54040,-99.21010,0.66970,Tree1
388,-166.83299,-166.55800,-0.27500,Tree2
389,-147.73500,-148.03999,0.30500,Tree1
390,-7.27460,-10.74200,3.46740,Tree1
391,-144.54700,-146.04900,1.50200,Tree1
392,-52.87000,-52.95600,0.08600,Tree1
393,-129.68600,-129.03799,-0.64800,Tree2
394,-193.88600,-191.92000,-1.96600,Tree2
395,-122.09900,-123.19200,1.09300,Tree1
396,-100.03900,-101.58600,1.54700,Tree1
397,-20.38510,-22.54670,2.16160,Tree1
398,-37.94660,-39.06570,1.11910,Tree1
399,-72.64750,-73.10560,0.45810,Tree1
400,-186.36900,-186.75700,0.38800,Tree1
401,-162.67300,-163.03000,0.35700,Tree1
402,-90.02280,-90.12110,0.09830,Tree1
403,-62.24030,-62.15570,-0.08460,Tree2
404,-99.76940,-100.72200,0.95260,Tree1
405,-108.00700,-107.55400,-0.45300,Tree2
406,-30.93540,-30.69860,-0.23680,Tree2
407,-182.25500,-182.27800,0.02300,Tree1
408,-133.62199,-132.82700,-0.79500,Tree2
409,-181.17200,-179.60500,-1.56700,Tree2
410,-66.81970,-66.33440,-0.48530,Tree2
411,-39.82960,-40.20410,0.37450,Tree1
412,-74.67160,-74.24570,-0.42590,Tree2
413,-55.20120,-56.56500,1.36380,Tree1
414,-154.87801,-155.54700,0.66900,Tree1
415,-14.01690,-18.07700,4.06010,Tree1
416,-140.07500,-139.24899,-0.82600,Tree2
417,-22.46650,-25.47050,3.00400,Tree1
418,-83.82770,-81.96330,-1.86440,Tree2
419,-115.66700,-113.53300,-2.13400,Tree2
420,-71.85480,-73.23840,1.38360,Tree1
421,-16.26290,-20.13330,3.87040,Tree1
422,-113.63400,-111.92400,-1.71000,Tree2
423,-107.98200,-105.71100,-2.27100,Tree2
424,-30.14800,-29.13830,-1.00970,Tree2
425,-126.42500,-127.12200,0.69700,Tree1
426,-161.51300,-162.76700,1.25400,Tree1
427,-95.39480,-94.80890,-0.58590,Tree2
428,-90.43770,-90.16370,-0.27400,Tree2
429,-117.59900,-115.87700,-1.72200,Tree2
430,-22.37270,-22.01060,-0.36210,Tree2
431,-90.13510,-92.26950,2.13440,Tree1
432,-153.05099,-153.93201,0.88100,Tree1
433,-144.94501,-144.80499,-0.14000,Tree2
434,-70.46750,-71.51440,1.04690,Tree1
435,-74.46570,-74.43690,-0.02880,Tree2
436,-145.08501,-142.78900,-2.29600,Tree2
437,-212.99200,-211.12601,-1.86600,Tree2
438,-37.79290,-36.30620,-1.48670,Tree2
439,-43.94080,-42.47740,-1.46340,Tree2
440,-75.34920,-76.27640,0.92720,Tree1
441,-134.25800,-132.97200,-1.28600,Tree2
442,-128.02400,-124.87500,-3.14900,Tree2
443,-136.06400,-134.00999,-2.05400,Tree2
444,-122.94400,-122.02800,-0.91600,Tree2
445,-67.27240,-68.38570,1.11330,Tree1
446,-185.36000,-185.30299,-0.05700,Tree2
447,-158.40199,-157.39400,-1.00800,Tree2
448,-80.36320,-81.13780,0.77460,Tree1
449,-162.85300,-163.67300,0.82000,Tree1
450,-151.99200,-150.84200,-1.15000,Tree2
451,-162.36000,-162.85899,0.49900,Tree1
452,-199.87500,-197.81300,-2.06200,Tree2
453,-109.66100,-108.55800,-1.10300,Tree2
454,-86.04430,-87.39300,1.34870,Tree1
455,-82.95510,-81.69690,-1.25820,Tree2
456,-56.27590,-56.07430,-0.20160,Tree2
457,-136.89500,-135.81799,-1.07700,Tree2
458,-113.25400,-112.77200,-0.48200,Tree2
459,-112.06600,-111.95600,-0.11000,Tree2
460,-13.91610,-17.97740,4.06130,Tree1
461,-175.60800,-175.18201,-0.42600,Tree2
462,-142.14500,-140.44701,-1.69800,Tree2
463,-68.20940,-69.37990,1.17050,Tree1
464,-79.52420,-79.48040,-0.04380,Tree2
465,-86.48070,-88.70560,2.22490,Tree1
466,-22.35060,-22.03710,-0.31350,Tree2
467,-35.46290,-34.37380,-1.08910,Tree2
468,-168.01801,-167.97600,-0.04200,Tree2
469,-146.93201,-145.03500,-1.89700,Tree2
470,-82.57300,-82.86970,0.29670,Tree1
471,-123.36000,-124.22800,0.86800,Tree1
472,-95.98120,-96.41410,0.43290,Tree1
473,-164.93700,-164.27800,-0.65900,Tree2
474,-126.27000,-124.43000,-1.84000,Tree2
475,-179.31100,-178.26401,-1.04700,Tree2
476,-174.27100,-173.64900,-0.62200,Tree2
477,-151.07899,-152.37700,1.29800,Tree1
478,-21.32730,-22.01040,0.68310,Tree1
479,-28.16850,-28.78310,0.61460,Tree1
480,-168.55499,-168.02901,-0.52600,Tree2
481,-106.03900,-104.25800,-1.78100,Tree2
482,-68.29820,-65.59080,-2.70740,Tree2
483,-124.27800,-124.99300,0.71500,Tree1
484,-149.99899,-151.07401,1.07500,Tree1
485,-6.65733,-9.59113,2.93380,Tree1
486,-150.50101,-151.37500,0.87400,Tree1
487,-103.03400,-105.18100,2.14700,Tree1
488,-107.21200,-106.70600,-0.50600,Tree2
489,-84.98030,-84.43420,-0.54610,Tree2
490,-58.64800,-56.29620,-2.35180,Tree2
491,-132.52299,-130.50000,-2.02300,Tree2
492,-133.19600,-134.37500,1.17900,Tree1
493,-70.50230,-68.42920,-2.07310,Tree2
494,-186.97600,-185.90900,-1.06700,Tree2
495,-145.86301,-145.78500,-0.07800,Tree2
496,-114.93900,-113.02100,-1.91800,Tree2
497,-172.74001,-172.55701,-0.18300,Tree2
498,-156.09399,-155.81900,-0.27500,Tree2
499,-136.40401,-136.95500,0.55100,Tree1
500,-130.74600,-130.77901,0.03300,Tree1
501,-30.02040,-30.04340,0.02300,Tree1
502,-39.06450,-39.06920,0.00470,Tree1
503,-109.96000,-109.78100,-0.17900,Tree2
504,-62.69020,-62.76790,0.07770,Tree1
505,-71.08760,-71.15570,0.06810,Tree1
506,-108.94300,-109.32200,0.37900,Tree1
507,-133.94400,-134.37199,0.42800,Tree1
508,-151.05901,-151.13200,0.07300,Tree1
509,-66.43600,-66.52530,0.08930,Tree1
510,-16.60230,-16.60920,0.00690,Tree1
511,-107.79200,-107.78800,-0.00400,Tree2
512,-149.08000,-149.25200,0.17200,Tree1
513,-111.72500,-111.73400,0.00900,Tree1
514,-170.21600,-170.17799,-0.03800,Tree2
515,-164.83000,-165.48599,0.65600,Tree1
516,-61.65200,-61.66580,0.01380,Tree1
517,-124.48800,-124.34400,-0.14400,Tree2
518,-135.98100,-135.97200,-0.00900,Tree2
519,-165.57800,-165.65601,0.07800,Tree1
520,-86.17240,-86.16920,-0.00320,Tree2
521,-122.80400,-122.89800,0.09400,Tree1
522,-128.01801,-127.98500,-0.03300,Tree2
523,-166.30499,-167.24699,0.94200,Tree1
524,-62.61540,-62.65180,0.03640,Tree1
525,-106.51700,-106.55800,0.04100,Tree1
526,-198.52901,-198.68600,0.15700,Tree1
527,-86.54980,-86.59270,0.04290,Tree1
528,-18.02910,-18.04930,0.02020,Tree1
529,-108.35200,-108.32300,-0.02900,Tree2
530,-184.68300,-185.14101,0.45800,Tree1
531,-10.78790,-10.80630,0.01840,Tree1
532,-15.03320,-15.04050,0.00730,Tree1
533,-153.40700,-153.43500,0.02800,Tree1
534,-154.19000,-154.15601,-0.03400,Tree2
535,-103.13200,-103.13600,0.00400,Tree1
536,-171.87000,-172.16600,0.29600,Tree1
537,-128.08701,-128.03101,-0.05600,Tree2
538,-126.96500,-127.00600,0.04100,Tree1
539,-125.47900,-125.24500,-0.23400,Tree2
540,-172.56400,-172.59801,0.03400,Tree1
541,-131.41499,-131.54500,0.13000,Tree1
542,-190.75999,-190.32700,-0.43300,Tree2
543,-75.42280,-75.40490,-0.01790,Tree2
544,-29.87730,-29.88280,0.00550,Tree1
545,-149.50200,-149.59500,0.09300,Tree1
546,-129.75200,-129.63499,-0.11700,Tree2
547,-52.51750,-52.51480,-0.00270,Tree2
548,-16.34340,-16.35710,0.01370,Tree1
549,-104.94500,-104.66800,-0.27700,Tree2
550,-72.43840,-72.47230,0.03390,Tree1
551,-30.73580,-30.73790,0.00210,Tree1
552,-13.46540,-13.46860,0.00320,Tree1
553,-45.41670,-45.39340,-0.02330,Tree2
554,-113.91300,-113.90900,-0.00400,Tree2
555,-64.21640,-64.18670,-0.02970,Tree2
556,-104.61800,-105.04100,0.42300,Tree1
557,-119.05200,-119.10500,0.05300,Tree1
558,-144.86400,-144.85201,-0.01200,Tree2
559,-138.15300,-138.63499,0.48200,Tree1
560,-151.69099,-151.64301,-0.04800,Tree2
561,-160.48500,-160.56700,0.08200,Tree1
562,-181.86099,-181.93201,0.07100,Tree1
563,-168.29401,-168.47900,0.18500,Tree1
564,-134.06000,-134.20300,0.14300,Tree1
565,-123.28800,-123.78300,0.49500,Tree1
566,-103.94600,-103.87000,-0.07600,Tree2
567,-85.90980,-85.86220,-0.04760,Tree2
568,-119.55800,-119.66100,0.10300,Tree1
569,-96.60450,-96.58680,-0.01770,Tree2
